POLITICIAN,CATEGORY,TOPIC
mitt_romney,foreign_policy,war_powers
mitt_romney,social_policy,immigration
mitt_romney,social_policy,education
mitt_romney,social_policy,gambling
mitt_romney,social_policy,abortion_and_related_issues
mitt_romney,social_policy,gun_ownership
mitt_romney,social_policy,medical_marijuana
mitt_romney,social_policy,civil_liberties
mitt_romney,social_policy,crime_and_punishment
mitt_romney,social_policy,evolution
mitt_romney,social_policy,family
mitt_romney,social_policy,social_welfare
ralph_nader,economic_policy,finance
ralph_nader,economic_policy,corporations
ralph_nader,economic_policy,labor
ralph_nader,energy_policy,overview
ralph_nader,foreign_policy,defense_and_military
ralph_nader,foreign_policy,israelpalestinian_territories
ralph_nader,foreign_policy,relations_and_views_of_other_governments
ralph_nader,foreign_policy,cuba
ralph_nader,environmental_policy,overview
ralph_nader,social_policy,health_care
ralph_nader,social_policy,civil_rights
ralph_nader,social_policy,public_safety
ralph_nader,constitutional_policy,campaign_finance
ralph_nader,constitutional_policy,voting
rick_perry,immigration,overview
rick_perry,lgbt_issues,overview
rick_perry,foreign_policy,overview
rick_perry,criticism_of_federal_reserve,overview
rick_perry,constitutional_issues,overview
rick_perry,social_security,overview
rick_perry,fiscal_policy,overview
rick_perry,_presidential_endorsements,overview
rick_perry,environmental_and_energy_issues,overview
ronald_reagan,economic_policy,economic_plans_taxes_and_deficit
ronald_reagan,economic_policy,new_deal
ronald_reagan,economic_policy,social_security
ronald_reagan,economic_policy,free_trade
ronald_reagan,economic_policy,healthcare
ronald_reagan,foreign_policy,iraniraq
ronald_reagan,foreign_policy,nuclear_weapons
ronald_reagan,foreign_policy,cold_war
ronald_reagan,social_policy,environment
ronald_reagan,social_policy,crime_and_capital_punishment
ronald_reagan,social_policy,abortion
ronald_reagan,social_policy,education
ronald_reagan,social_policy,drugs
ronald_reagan,social_policy,civil_rights
ronald_reagan,social_policy,energy_and_oil
theodore_roosevelt,immigration,overview
theodore_roosevelt,direct_election_of_senators,overview
theodore_roosevelt,square_deal,overview
theodore_roosevelt,conservationist,overview
theodore_roosevelt,historical_views,overview
theodore_roosevelt,corporate_regulations,overview
theodore_roosevelt,views_on_civilization,overview
